scenario,harness,expected_result,observed_result,evidence
benign-terminal-success,run_frozen_agent_loop,PASS,PASS,phase5/tests/test_local_qualification.py::test_p16_local_e2e_suite_covers_full_state_machine
source-to-sink-multi-tool,run_frozen_agent_loop,PASS,PASS,phase5/tests/test_local_qualification.py::test_p16_local_e2e_suite_covers_full_state_machine
malformed-output,run_frozen_agent_loop,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_local_qualification.py::test_p16_fault_injection_matrix_rows_fail_closed
single-unauthorized-tool,run_frozen_agent_loop,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_local_qualification.py::test_p16_fault_injection_matrix_rows_fail_closed
hallucinated-tool,run_frozen_agent_loop,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_local_qualification.py::test_p16_fault_injection_matrix_rows_fail_closed
incomplete-multi-tool-path,run_frozen_agent_loop,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_local_qualification.py::test_p16_fault_injection_matrix_rows_fail_closed
backend-crash,run_frozen_agent_loop,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_local_qualification.py::test_p16_fault_injection_matrix_rows_fail_closed
reset-failure,run_frozen_agent_loop,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_local_qualification.py::test_p16_fault_injection_matrix_rows_fail_closed
model-created-loop-overflow,run_frozen_agent_loop,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_local_qualification.py::test_p16_token_overflow_and_model_loop_classification
initial-prompt-overflow,run_frozen_agent_loop,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_local_qualification.py::test_p16_token_overflow_and_model_loop_classification
mcp-discovery-hidden-reset,McpServerLauncher,PASS,PASS,phase5/tests/test_local_qualification.py::test_p16_local_mcp_discovery_hides_reset_and_rejects_public_hosts
git-sync-success,perform_sync_github,PASS,PASS,phase5/tests/test_local_qualification.py::test_p16_checkpoint_resume_and_git_sync_demonstration
git-source-staging-rejection,perform_sync_github,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_local_qualification.py::test_p16_checkpoint_resume_and_git_sync_demonstration
git-remote-divergence,perform_sync_github,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_sync_github.py
git-push-failure,perform_sync_github,FAIL_CLOSED,FAIL_CLOSED,phase5/tests/test_sync_github.py
checkpoint-resume,run_campaign,PASS,PASS,phase5/tests/test_local_qualification.py::test_p16_checkpoint_resume_and_git_sync_demonstration
